,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
0,-4.0,"(17, 71, 57, 65)",0.0,3.0,18.0,0,0,1,1
1,-2.888888888888889,"(1, 2, 56, 64)",0.0,2.0,16.0,1,0,1,1
2,-2.8333333333333335,"(7, 22, 49, 54)",0.0,2.0,15.0,2,0,1,1
3,-2.7777777777777777,"(6, 39, 60, 78)",0.0,2.0,14.0,3,0,1,1
4,-2.7222222222222223,"(4, 46, 69, 81)",0.0,2.0,13.0,4,0,1,1
5,-2.7222222222222223,"(19, 40, 45, 47)",0.0,2.0,13.0,5,0,1,1
6,-1.5555555555555556,"(15, 20, 24, 75)",0.0,1.0,10.0,6,0,1,1
7,-1.4444444444444444,"(50, 8, 82, 18)",0.0,1.0,8.0,7,0,1,1
8,-0.2777777777777778,"(34, 62, 9, 59)",0.0,0.0,5.0,8,0,1,1
9,-0.2777777777777778,"(3, 52, 5, 77)",0.0,0.0,5.0,9,0,1,1
10,-0.2222222222222222,"(61, 44, 23, 76)",0.0,0.0,4.0,10,0,1,1
11,-2.7777777777777777,"(70, 32, 41, 68)",0.0,2.0,14.0,11,0,1,1
12,-2.8333333333333335,"(17, 40, 49, 75)",0.0,2.0,15.0,0,1,1,1
13,-2.8333333333333335,"(2, 6, 9, 69)",0.0,2.0,15.0,1,1,1,1
14,-2.7777777777777777,"(4, 5, 8, 47)",0.0,2.0,14.0,2,1,1,1
15,-1.7222222222222223,"(34, 39, 45, 77)",0.0,1.0,13.0,3,1,1,1
16,-1.7222222222222223,"(18, 81, 60, 1)",0.0,1.0,13.0,4,1,1,1
17,-1.6111111111111112,"(7, 15, 57, 64)",0.0,1.0,11.0,5,1,1,1
18,-1.5555555555555556,"(22, 46, 50, 56)",0.0,1.0,10.0,6,1,1,1
19,-0.2222222222222222,"(32, 62, 44, 54)",0.0,0.0,4.0,7,1,1,1
20,-0.16666666666666666,"(19, 68, 24, 23)",0.0,0.0,3.0,8,1,1,1
21,-1.0555555555555558,"(71, 65, 59, 70)",1.0,2.0,13.0,9,1,1,1
22,-0.3888888888888889,"(52, 78, 76, 41)",0.0,0.0,7.0,10,1,1,1
23,-1.4444444444444444,"(20, 82, 3, 61)",0.0,1.0,8.0,11,1,1,1
24,-2.8333333333333335,"(45, 54, 71, 75)",0.0,2.0,15.0,0,2,1,1
25,-2.8333333333333335,"(9, 56, 77, 81)",0.0,2.0,15.0,1,2,1,1
26,-2.7777777777777777,"(8, 17, 19, 22)",0.0,2.0,14.0,2,2,1,1
27,-1.7222222222222223,"(5, 50, 64, 69)",0.0,1.0,13.0,3,2,1,1
28,-1.6666666666666665,"(4, 40, 57, 70)",0.0,1.0,12.0,4,2,1,1
29,-1.6111111111111112,"(1, 6, 41, 46)",0.0,1.0,11.0,5,2,1,1
30,-1.5555555555555556,"(24, 2, 18, 49)",0.0,1.0,10.0,6,2,1,1
31,-0.3888888888888889,"(7, 68, 60, 20)",0.0,0.0,7.0,7,2,1,1
32,-0.16666666666666666,"(34, 65, 82, 76)",0.0,0.0,3.0,8,2,1,1
33,1.5555555555555554,"(44, 52, 61, 15)",1.0,0.0,2.0,9,2,1,1
34,-0.2777777777777778,"(62, 39, 23, 3)",0.0,0.0,5.0,10,2,1,1
35,-1.3888888888888888,"(32, 47, 78, 59)",0.0,1.0,7.0,11,2,1,1
36,-2.7222222222222223,"(4, 18, 19, 75)",0.0,2.0,13.0,0,3,1,1
37,-1.6666666666666665,"(22, 40, 65, 78)",0.0,1.0,12.0,1,3,1,1
38,-1.6666666666666665,"(64, 3, 46, 9)",0.0,1.0,12.0,2,3,1,1
39,-1.6111111111111112,"(17, 47, 54, 68)",0.0,1.0,11.0,3,3,1,1
40,-1.5555555555555556,"(5, 45, 49, 59)",0.0,1.0,10.0,4,3,1,1
41,-1.5555555555555556,"(77, 57, 50, 2)",0.0,1.0,10.0,5,3,1,1
42,-1.5,"(1, 7, 34, 71)",0.0,1.0,9.0,6,3,1,1
43,-0.2222222222222222,"(44, 70, 24, 82)",0.0,0.0,4.0,7,3,1,1
44,-1.5555555555555556,"(41, 69, 60, 15)",0.0,1.0,10.0,8,3,1,1
45,-0.2777777777777778,"(8, 52, 20, 23)",0.0,0.0,5.0,9,3,1,1
46,-0.3333333333333333,"(76, 56, 6, 62)",0.0,0.0,6.0,10,3,1,1
47,-0.2777777777777778,"(32, 39, 81, 61)",0.0,0.0,5.0,11,3,1,1
48,-2.7222222222222223,"(2, 5, 81, 15)",0.0,2.0,13.0,0,4,1,1
49,-1.7222222222222223,"(4, 6, 45, 64)",0.0,1.0,13.0,1,4,1,1
50,-1.6666666666666665,"(22, 39, 47, 75)",0.0,1.0,12.0,2,4,1,1
51,-1.6111111111111112,"(7, 18, 40, 56)",0.0,1.0,11.0,3,4,1,1
52,-1.6111111111111112,"(8, 49, 65, 77)",0.0,1.0,11.0,4,4,1,1
53,-1.5555555555555556,"(24, 1, 69, 3)",0.0,1.0,10.0,5,4,1,1
54,-1.4444444444444444,"(41, 54, 57, 59)",0.0,1.0,8.0,6,4,1,1
55,1.3888888888888888,"(61, 46, 68, 9)",1.0,0.0,5.0,7,4,1,1
56,-0.2222222222222222,"(44, 78, 20, 17)",0.0,0.0,4.0,8,4,1,1
57,1.4444444444444442,"(52, 50, 76, 32)",1.0,0.0,4.0,9,4,1,1
58,-0.3333333333333333,"(71, 82, 62, 19)",0.0,0.0,6.0,10,4,1,1
59,-0.3333333333333333,"(34, 70, 23, 60)",0.0,0.0,6.0,11,4,1,1
60,-1.6666666666666665,"(49, 64, 71, 81)",0.0,1.0,12.0,0,5,1,1
61,-1.6666666666666665,"(56, 5, 24, 60)",0.0,1.0,12.0,1,5,1,1
62,-1.5555555555555556,"(75, 8, 7, 41)",0.0,1.0,10.0,2,5,1,1
63,-1.5555555555555556,"(18, 54, 69, 77)",0.0,1.0,10.0,3,5,1,1
64,-1.5,"(22, 57, 9, 20)",0.0,1.0,9.0,4,5,1,1
65,-1.5,"(15, 45, 46, 82)",0.0,1.0,9.0,5,5,1,1
66,-0.4444444444444444,"(1, 4, 39, 50)",0.0,0.0,8.0,6,5,1,1
67,-0.3888888888888889,"(3, 32, 34, 2)",0.0,0.0,7.0,7,5,1,1
68,1.3888888888888888,"(40, 62, 68, 78)",1.0,0.0,5.0,8,5,1,1
69,2.9999999999999996,"(23, 17, 47, 76)",2.0,0.0,6.0,9,5,1,1
70,2.944444444444444,"(6, 44, 70, 59)",2.0,0.0,7.0,10,5,1,1
